question,database,output,type,cypher,explanation
"List the names of people who acted in movies with ""Silly, but fun"" reviews.",movies,"<explanation>
This Cypher query identifies people who acted in movies with the review ""Silly, but fun"". 

1. **Match reviewed movies:** We start by matching all `Person` nodes that have a `REVIEWED` relationship to a `Movie` node. 
2. **Filter by review summary:** We filter these relationships to only include those where the `summary` property of the `REVIEWED` relationship is ""Silly, but fun"".
3. **Match actors:** From the filtered results, we match the `Movie` nodes to `Person` nodes connected through the `ACTED_IN` relationship.
4. **Return actor names:** Finally, we return the distinct names of the actors who acted in these movies using `RETURN DISTINCT p.name`.

```cypher
MATCH (p:Person)-[r:REVIEWED]->(m:Movie)
WHERE r.summary = ""Silly, but fun""
MATCH (p2:Person)-[:ACTED_IN]->(m)
RETURN DISTINCT p2.name
```
</explanation>
```cypher
MATCH (p:Person)-[r:REVIEWED]->(m:Movie)
WHERE r.summary = ""Silly, but fun""
MATCH (p2:Person)-[:ACTED_IN]->(m)
RETURN DISTINCT p2.name
```",Multi-step Queries,"MATCH (p:Person)-[r:REVIEWED]->(m:Movie)
WHERE r.summary = ""Silly, but fun""
MATCH (p2:Person)-[:ACTED_IN]->(m)
RETURN DISTINCT p2.name","This Cypher query identifies people who acted in movies with the review ""Silly, but fun"". 

1. **Match reviewed movies:** We start by matching all `Person` nodes that have a `REVIEWED` relationship to a `Movie` node. 
2. **Filter by review summary:** We filter these relationships to only include those where the `summary` property of the `REVIEWED` relationship is ""Silly, but fun"".
3. **Match actors:** From the filtered results, we match the `Movie` nodes to `Person` nodes connected through the `ACTED_IN` relationship.
4. **Return actor names:** Finally, we return the distinct names of the actors who acted in these movies using `RETURN DISTINCT p.name`.

```cypher
MATCH (p:Person)-[r:REVIEWED]->(m:Movie)
WHERE r.summary = ""Silly, but fun""
MATCH (p2:Person)-[:ACTED_IN]->(m)
RETURN DISTINCT p2.name
```"
"Find the titles of movies released after 1990 with ""A solid romp"" reviews.",movies,"<explanation>
This Cypher query will find movies released after 1990 with reviews labeled ""A solid romp."" 

1. **Match Movie Nodes with Reviews:**  We start by matching `Movie` nodes that have an incoming `REVIEWED` relationship where the review's `summary` property is ""A solid romp.""
2. **Filter by Release Year:** We filter these movies to include only those released after 1990.
3. **Return Movie Titles:** Finally, we return the titles of the movies that meet these criteria.

```cypher
MATCH (m:Movie)<-[r:REVIEWED]-(p:Person)
WHERE r.summary = ""A solid romp"" AND m.released > 1990
RETURN m.title
```
</explanation>
```cypher
MATCH (m:Movie)<-[r:REVIEWED]-(p:Person)
WHERE r.summary = ""A solid romp"" AND m.released > 1990
RETURN m.title
```",Multi-step Queries,"MATCH (m:Movie)<-[r:REVIEWED]-(p:Person)
WHERE r.summary = ""A solid romp"" AND m.released > 1990
RETURN m.title","This Cypher query will find movies released after 1990 with reviews labeled ""A solid romp."" 

1. **Match Movie Nodes with Reviews:**  We start by matching `Movie` nodes that have an incoming `REVIEWED` relationship where the review's `summary` property is ""A solid romp.""
2. **Filter by Release Year:** We filter these movies to include only those released after 1990.
3. **Return Movie Titles:** Finally, we return the titles of the movies that meet these criteria.

```cypher
MATCH (m:Movie)<-[r:REVIEWED]-(p:Person)
WHERE r.summary = ""A solid romp"" AND m.released > 1990
RETURN m.title
```"
"Which movies released before 2000 were reviewed with ""Pretty funny at times""?",movies,"<explanation>
This Cypher query will find all movies released before 2000 that have a review with the summary ""Pretty funny at times"".  We can achieve this by first matching all movies released before 2000. Then we match on the `reviewed` relationship to those movies, where the review summary is ""Pretty funny at times"". Finally, we return the titles of those movies.
</explanation>
```cypher
MATCH (m:Movie)<-[r:REVIEWED]-(p:Person)
WHERE m.released < 2000 AND r.summary = ""Pretty funny at times""
RETURN m.title
```",Multi-step Queries,"MATCH (m:Movie)<-[r:REVIEWED]-(p:Person)
WHERE m.released < 2000 AND r.summary = ""Pretty funny at times""
RETURN m.title","This Cypher query will find all movies released before 2000 that have a review with the summary ""Pretty funny at times"".  We can achieve this by first matching all movies released before 2000. Then we match on the `reviewed` relationship to those movies, where the review summary is ""Pretty funny at times"". Finally, we return the titles of those movies."
Who are the people born after 1950 who acted in movies with ratings above 90?,movies,"<explanation>
1. We start by matching on the `Person` nodes with `born` property greater than 1950.
2. Then we traverse the `ACTED_IN` relationship to find the movies they acted in.
3. We further filter these movies based on the `rating` property of the `REVIEWED` relationship being greater than 90.
4. Finally, we return the distinct `name` property of the `Person` nodes.

```cypher
MATCH (p:Person)-[:ACTED_IN]->(m:Movie)<-[r:REVIEWED]-()
WHERE p.born > 1950 AND r.rating > 90
RETURN DISTINCT p.name
```
</explanation>
```cypher
MATCH (p:Person)-[:ACTED_IN]->(m:Movie)<-[r:REVIEWED]-()
WHERE p.born > 1950 AND r.rating > 90
RETURN DISTINCT p.name
```",Multi-step Queries,"MATCH (p:Person)-[:ACTED_IN]->(m:Movie)<-[r:REVIEWED]-()
WHERE p.born > 1950 AND r.rating > 90
RETURN DISTINCT p.name","1. We start by matching on the `Person` nodes with `born` property greater than 1950.
2. Then we traverse the `ACTED_IN` relationship to find the movies they acted in.
3. We further filter these movies based on the `rating` property of the `REVIEWED` relationship being greater than 90.
4. Finally, we return the distinct `name` property of the `Person` nodes.

```cypher
MATCH (p:Person)-[:ACTED_IN]->(m:Movie)<-[r:REVIEWED]-()
WHERE p.born > 1950 AND r.rating > 90
RETURN DISTINCT p.name
```"
"What are the release years of movies with ""Fun, but a little far fetched"" reviews?",movies,"<explanation>
1. **Match nodes and relationships**: We need to find movies that have reviews with the summary ""Fun, but a little far fetched"". This involves matching `Movie` nodes that have an incoming `REVIEWED` relationship from a `Person` node, where the `summary` property of the `REVIEWED` relationship is ""Fun, but a little far fetched"".
2. **Filter based on review summary**: We'll use a `WHERE` clause to filter for `REVIEWED` relationships with the specific `summary`.
3. **Return the release year**:  We only need the release years of the movies, so we'll return the `released` property of the `Movie` nodes.

```cypher
MATCH (m:Movie)<-[r:REVIEWED]-(:Person)
WHERE r.summary = ""Fun, but a little far fetched""
RETURN m.released
```
</explanation>
```cypher
MATCH (m:Movie)<-[r:REVIEWED]-(:Person)
WHERE r.summary = ""Fun, but a little far fetched""
RETURN m.released
```",Multi-step Queries,"MATCH (m:Movie)<-[r:REVIEWED]-(:Person)
WHERE r.summary = ""Fun, but a little far fetched""
RETURN m.released","1. **Match nodes and relationships**: We need to find movies that have reviews with the summary ""Fun, but a little far fetched"". This involves matching `Movie` nodes that have an incoming `REVIEWED` relationship from a `Person` node, where the `summary` property of the `REVIEWED` relationship is ""Fun, but a little far fetched"".
2. **Filter based on review summary**: We'll use a `WHERE` clause to filter for `REVIEWED` relationships with the specific `summary`.
3. **Return the release year**:  We only need the release years of the movies, so we'll return the `released` property of the `Movie` nodes.

```cypher
MATCH (m:Movie)<-[r:REVIEWED]-(:Person)
WHERE r.summary = ""Fun, but a little far fetched""
RETURN m.released
```"
Find the taglines of movies directed by people born between 1950 and 1960.,movies,"<explanation>
1. **MATCH** the `Person` nodes with `born` property between 1950 and 1960.
2. **MATCH** those `Person` nodes to `Movie` nodes they `DIRECTED`.
3. **RETURN** the `tagline` property of the `Movie` nodes. 

```cypher
MATCH (p:Person)-[:DIRECTED]->(m:Movie)
WHERE p.born >= 1950 AND p.born <= 1960
RETURN m.tagline
```
</explanation>
```cypher
MATCH (p:Person)-[:DIRECTED]->(m:Movie)
WHERE p.born >= 1950 AND p.born <= 1960
RETURN m.tagline
```",Multi-step Queries,"MATCH (p:Person)-[:DIRECTED]->(m:Movie)
WHERE p.born >= 1950 AND p.born <= 1960
RETURN m.tagline","1. **MATCH** the `Person` nodes with `born` property between 1950 and 1960.
2. **MATCH** those `Person` nodes to `Movie` nodes they `DIRECTED`.
3. **RETURN** the `tagline` property of the `Movie` nodes. 

```cypher
MATCH (p:Person)-[:DIRECTED]->(m:Movie)
WHERE p.born >= 1950 AND p.born <= 1960
RETURN m.tagline
```"
Which movies produced by Joel Silver have more than 3000 votes?,movies,"<explanation>
1. **Find the person named ""Joel Silver"":** We start by matching the `Person` node with the `name` property equal to ""Joel Silver"".
2. **Traverse the `PRODUCED` relationship:**  We traverse the `PRODUCED` relationships outgoing from Joel Silver to find the movies he produced.
3. **Filter on movies with more than 3000 votes:** We filter the movies based on the `votes` property being greater than 3000.
4. **Return the movie titles:** Finally, we return the `title` property of the filtered movies.

```cypher
MATCH (p:Person {name: ""Joel Silver""})-[:PRODUCED]->(m:Movie)
WHERE m.votes > 3000
RETURN m.title
```
</explanation>
```cypher
MATCH (p:Person {name: ""Joel Silver""})-[:PRODUCED]->(m:Movie)
WHERE m.votes > 3000
RETURN m.title
```",Multi-step Queries,"MATCH (p:Person {name: ""Joel Silver""})-[:PRODUCED]->(m:Movie)
WHERE m.votes > 3000
RETURN m.title","1. **Find the person named ""Joel Silver"":** We start by matching the `Person` node with the `name` property equal to ""Joel Silver"".
2. **Traverse the `PRODUCED` relationship:**  We traverse the `PRODUCED` relationships outgoing from Joel Silver to find the movies he produced.
3. **Filter on movies with more than 3000 votes:** We filter the movies based on the `votes` property being greater than 3000.
4. **Return the movie titles:** Finally, we return the `title` property of the filtered movies.

```cypher
MATCH (p:Person {name: ""Joel Silver""})-[:PRODUCED]->(m:Movie)
WHERE m.votes > 3000
RETURN m.title
```"
"Who acted in movies released in the same year as ""The Matrix""?",movies,"<explanation>
1. Find the movie titled ""The Matrix""
2. Get the release year of ""The Matrix""
3. Find all movies released in that year
4. Find all actors who acted in those movies
5. Return the names of the actors

```cypher
MATCH (m:Movie {title: ""The Matrix""})
WITH m.released AS released_year
MATCH (m2:Movie {released: released_year})<-[:ACTED_IN]-(p:Person)
RETURN DISTINCT p.name
```
</explanation>
```cypher
MATCH (m:Movie {title: ""The Matrix""})
WITH m.released AS released_year
MATCH (m2:Movie {released: released_year})<-[:ACTED_IN]-(p:Person)
RETURN DISTINCT p.name
```
",Multi-step Queries,"MATCH (m:Movie {title: ""The Matrix""})
WITH m.released AS released_year
MATCH (m2:Movie {released: released_year})<-[:ACTED_IN]-(p:Person)
RETURN DISTINCT p.name","1. Find the movie titled ""The Matrix""
2. Get the release year of ""The Matrix""
3. Find all movies released in that year
4. Find all actors who acted in those movies
5. Return the names of the actors

```cypher
MATCH (m:Movie {title: ""The Matrix""})
WITH m.released AS released_year
MATCH (m2:Movie {released: released_year})<-[:ACTED_IN]-(p:Person)
RETURN DISTINCT p.name
```"
What are the ratings given by people born before 1970 for movies released after 1995?,movies,"<explanation>
This Cypher query identifies movie ratings provided by people born before 1970 for movies released after 1995. 

1. **MATCH (p:Person)-[r:REVIEWED]->(m:Movie)**: This part matches all instances of a person reviewing a movie.
2. **WHERE p.born < 1970 AND m.released > 1995**: This filters the matches to only include those where the person was born before 1970 and the movie was released after 1995.
3. **RETURN m.title AS movieTitle, p.name AS reviewerName, r.rating AS rating**: This returns the title of the movie, the name of the reviewer, and the rating they gave.

</explanation>
```cypher
MATCH (p:Person)-[r:REVIEWED]->(m:Movie)
WHERE p.born < 1970 AND m.released > 1995
RETURN m.title AS movieTitle, p.name AS reviewerName, r.rating AS rating
```",Multi-step Queries,"MATCH (p:Person)-[r:REVIEWED]->(m:Movie)
WHERE p.born < 1970 AND m.released > 1995
RETURN m.title AS movieTitle, p.name AS reviewerName, r.rating AS rating","This Cypher query identifies movie ratings provided by people born before 1970 for movies released after 1995. 

1. **MATCH (p:Person)-[r:REVIEWED]->(m:Movie)**: This part matches all instances of a person reviewing a movie.
2. **WHERE p.born < 1970 AND m.released > 1995**: This filters the matches to only include those where the person was born before 1970 and the movie was released after 1995.
3. **RETURN m.title AS movieTitle, p.name AS reviewerName, r.rating AS rating**: This returns the title of the movie, the name of the reviewer, and the rating they gave."
"Find the names of people who directed movies with ""The coolest football movie ever"" reviews.",movies,"<explanation>
This query starts by finding all movies with the specified review summary. Then, it traverses the `DIRECTED` relationships from those movies to find the directors and return their names. 

1. **Find movies with the specific review summary:** 
   - Match nodes with the label 'Movie' and the specified review summary.
2. **Find the directors:**
   - Traverse the `DIRECTED` relationship from those movies to find the directors (nodes with the 'Person' label).
3. **Return the names of directors:**
   - Return the `name` property of the directors.
</explanation>
```cypher
MATCH (m:Movie)<-[r:REVIEWED]-(p:Person)
WHERE r.summary = ""The coolest football movie ever""
WITH m
MATCH (m)<-[:DIRECTED]-(d:Person)
RETURN d.name
```",Multi-step Queries,"MATCH (m:Movie)<-[r:REVIEWED]-(p:Person)
WHERE r.summary = ""The coolest football movie ever""
WITH m
MATCH (m)<-[:DIRECTED]-(d:Person)
RETURN d.name","This query starts by finding all movies with the specified review summary. Then, it traverses the `DIRECTED` relationships from those movies to find the directors and return their names. 

1. **Find movies with the specific review summary:** 
   - Match nodes with the label 'Movie' and the specified review summary.
2. **Find the directors:**
   - Traverse the `DIRECTED` relationship from those movies to find the directors (nodes with the 'Person' label).
3. **Return the names of directors:**
   - Return the `name` property of the directors."
